t [ps];I [nA]
17.782613333333334;(8.266114705448994e-08-1.790863004283909e-08j)
17.812251022222227;(8.188269209061147e-08-1.7793073943662194e-08j)
17.841888711111114;(8.112331430484458e-08-1.766973150691001e-08j)
17.8715264;(8.035405256530268e-08-1.7502795050701813e-08j)
17.901164088888894;(7.95832055138689e-08-1.7315388042023092e-08j)
17.93080177777778;(7.881673297984534e-08-1.7127167832404912e-08j)
17.960439466666667;(7.801941912457272e-08-1.694852072988844e-08j)
17.99007715555556;(7.720885887704847e-08-1.6774874813149627e-08j)
18.019714844444447;(7.637958002143414e-08-1.659841764110871e-08j)
18.049352533333334;(7.552327028060424e-08-1.6419460551799078e-08j)
18.078990222222227;(7.467639944415303e-08-1.6234999922445633e-08j)
18.108627911111114;(7.382810440049757e-08-1.6031671434376513e-08j)
18.1382656;(7.296570511130337e-08-1.5824609715227175e-08j)
18.167903288888894;(7.213046323254642e-08-1.5627842051263177e-08j)
18.19754097777778;(7.132744075581484e-08-1.5456695069072912e-08j)
18.227178666666667;(7.054579029304838e-08-1.5295992682513808e-08j)
18.25681635555556;(6.978359818097886e-08-1.5146409774661602e-08j)
18.286454044444447;(6.904007928761164e-08-1.5022615962252005e-08j)
18.316091733333334;(6.82779192982076e-08-1.488908032197177e-08j)
18.345729422222227;(6.7515114398693e-08-1.4730096590147398e-08j)
18.375367111111114;(6.674398659639109e-08-1.4581339412916798e-08j)
18.4050048;(6.596258119946665e-08-1.44357077771822e-08j)
18.434642488888894;(6.518950515443062e-08-1.42982689566526e-08j)
18.46428017777778;(6.44407830648711e-08-1.41720744202913e-08j)
18.493917866666667;(6.369700160095885e-08-1.4034927897591829e-08j)
18.52355555555556;(6.295139197043308e-08-1.3875253682009047e-08j)
18.553193244444447;(6.222101788062007e-08-1.371016418693759e-08j)
18.582830933333334;(6.148152003250244e-08-1.3532829077266112e-08j)
18.612468622222227;(6.073496441097444e-08-1.3349674728696686e-08j)
18.642106311111114;(5.999852767476174e-08-1.3196892759595866e-08j)
18.671744;(5.922488447734846e-08-1.3050816811505073e-08j)
18.701381688888894;(5.8468651887480945e-08-1.2912626517146602e-08j)
18.73101937777778;(5.7775272789772276e-08-1.2806442313116907e-08j)
18.760657066666667;(5.709262401358376e-08-1.2720742173960054e-08j)
18.79029475555556;(5.638255107985224e-08-1.2660725426407687e-08j)
18.819932444444447;(5.5648753315812107e-08-1.258706397783537e-08j)
18.849570133333334;(5.491917449229549e-08-1.2489765099629432e-08j)
18.879207822222227;(5.4161949907837855e-08-1.2379285548583123e-08j)
